subject_id	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24
1	6	6	6	6	6	6	1	1	6	6	6	6	1	1	6	6	6	6	1	1	1	1	6	6
2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1	2	2	1	1	3	3	3	3	3	3	3	1	2	5	2	2	2
5	1	1	1	1	1	5	1	1	4	1	6	6	1	1	1	6	6	6	1	6	6	6	6	6
6	3	3	4	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
7	1	1	1	1	6	6	1	1	1	6	6	6	1	1	6	6	6	6	1	1	1	6	6	6
8	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6
9	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	1	1	6	6	6
10	1	1	1	1	1	6	1	1	1	1	6	6	1	1	1	1	6	6	1	1	1	1	6	6
11	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6
12	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	5	5	6	6	6
13	1	1	6	6	6	6	1	1	6	6	6	6	1	1	1	6	6	6	1	1	6	6	6	6
14	4	4	3	3	3	3	4	4	3	3	3	6	4	4	3	3	3	6	4	4	4	6	6	6
15	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	6	1	1	1	1	6	6
16	1	1	1	6	6	6	1	1	6	6	6	6	1	1	6	6	6	6	1	1	6	6	6	6
17	1	1	1	1	6	6	1	1	6	6	6	6	1	1	1	6	6	6	1	1	1	6	6	6
18	6	3	1	1	2	3	1	6	1	3	3	4	4	6	1	3	3	5	1	2	3	5	3	6
19	6	6	6	6	6	6	3	6	6	6	6	6	6	6	6	6	6	6	3	6	6	6	6	6
20	1	1	1	1	1	6	1	1	1	2	6	6	1	1	1	3	3	6	1	1	1	2	6	6
21	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	6	6
22	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6
23	6	6	6	6	6	6	1	6	6	6	6	6	1	1	1	1	2	6	1	1	1	5	6	6
24	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6
25	1	5	4	3	2	4	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26	1	1	1	1	1	1	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	5
27	6	6	6	6	6	6	1	1	3	6	6	6	1	1	3	6	6	6	1	1	3	6	6	6
28	6	6	6	6	6	6	4	6	5	6	6	6	5	5	5	5	6	6	1	5	5	6	6	6
29	6	6	6	6	6	6	1	5	5	6	6	6	1	1	6	5	6	6	1	1	6	6	5	6
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31	1	1	6	6	1	6	1	1	1	6	6	6	1	6	1	6	1	6	1	1	3	1	1	1
32	2	4	2	4	3	3	4	4	2	2	5	2	2	2	5	2	5	3	5	2	5	3	2	5
33	1	1	1	6	6	6	1	1	1	6	6	6	1	1	1	6	6	6	1	1	3	4	3	6
34	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
35	3	3	3	3	3	6	5	2	3	5	6	6	3	3	3	3	3	6	3	3	3	6	6	6
36	1	6	6	6	6	6	1	1	6	6	6	6	1	1	6	6	6	6	1	1	1	6	6	6
37	5	1	1	2	3	4	3	3	2	2	3	2	1	1	3	2	1	2	2	1	3	3	2	1
38	6	6	6	6	6	6	5	6	6	6	6	6	4	6	6	6	6	6	4	6	5	5	6	6
39	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	6	6
40	1	1	1	6	6	6	1	1	1	6	6	6	1	1	1	6	6	6	1	1	1	1	1	6
41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
42	3	3	3	3	3	3	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3
43	1	1	1	1	6	6	1	1	1	6	6	6	1	1	1	1	6	6	1	1	1	6	6	6
44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	6	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47	1	5	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
